Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
200,1759429810624,4402,800,4301,3499,4301,4400,4359,4395,4398,4307,800,3202,0,0,0,0,0,0,0,0,0,0,4.761904716491699,0,37335.13690185547,120781.02587890625,80987.9663696289,4224.585266113281,33403068416,8589930496,6272540672,0
200,1759429810824,4402,800,4301,3499,4301,4400,4359,4395,4398,4307,800,3202,0,0,0,0,0,0,0,0,0,0,0,0,37335.40563964844,120781.43487548828,80988.12829589844,4224.585266113281,33403068416,8589930496,6272540672,0
200,1759429811025,4402,800,4301,3499,4301,4400,4359,4395,4398,4307,800,3202,0,0,0,0,0,0,0,0,0,0,0,0,37335.67547607422,120781.9408569336,80988.37707519531,4224.592346191406,33403068416,8589930496,6272540672,0
200,1759429811225,4402,800,4301,3499,4301,4400,4359,4395,4398,4307,800,3202,0,0,0,0,0,0,2.4390242099761963,2.4390242099761963,2.5,0,0,0,37335.93896484375,120782.2826538086,80988.4780883789,4224.592346191406,33403068416,8589930496,6272540672,0
200,1759429811425,4402,800,4301,3499,4301,4400,4359,4395,4398,4307,800,3202,0,0,0,0,0,0,0,0,0,0,0,0,37336.206298828125,120782.75549316406,80988.69927978516,4224.592346191406,33403068416,8589930496,6272536576,0
200,1759429811625,4402,800,4301,3499,4301,4400,4359,4395,4398,4307,800,3202,0,0,0,0,0,0,0,0,0,0,0,0,37336.473571777344,120783.10595703125,80988.79968261719,4224.595031738281,33403068416,8589930496,6265884672,0
200,1759429811825,4402,800,4301,3499,4301,4400,4359,4395,4398,4307,800,3202,0,0,0,0,0,0,2.4390242099761963,0,2.5641026496887207,0,0,0,37336.73956298828,120783.46350097656,80988.91680908203,4224.595031738281,33403068416,8589930496,6265884672,0
200,1759429812025,4402,800,4301,3499,4301,4400,4359,4395,4398,4307,800,3202,0,0,0,0,0,0,2.4390242099761963,0,2.5641026496887207,0,0,0,37337.009216308594,120783.93725585938,80989.13348388672,4224.598388671875,33403068416,8589930496,6265884672,0
199,1759429812226,4402,800,4301,3499,4301,4400,4359,4395,4398,4307,800,3202,0,2.4390242099761963,0,0,0,0,0,0,2.4390242099761963,0,0,0,37337.27575683594,120784.35638427734,80989.30108642578,4224.601623535156,33403068416,8589930496,6265884672,0
200,1759429812426,4402,800,4301,3499,4301,4400,4359,4395,4398,4307,800,3202,0,2.4390242099761963,0,0,0,0,0,0,2.4390242099761963,0,0,0,37337.55358886719,120784.86883544922,80989.53680419922,4224.601623535156,33403068416,8589930496,6265884672,0
200,1759429812626,4402,800,4301,3499,4301,4400,4359,4395,4398,4307,800,3202,5,0,0,0,2.5641026496887207,0,7.500000476837158,0,0,2.5,2.5,0,37337.8427734375,120785.29779052734,80989.68951416016,4224.601623535156,33403068416,8589930496,6264291328,0
