__run_id,__done,subject,gc,workload,jdk,energy_j,runtime_s,status,batch_num
run_47_repetition_0,DONE,CLBG-Fannkuch,Parallel,Heavy,oracle,1761254566429.0,4.95078,SUCCESS,1
run_48_repetition_0,DONE,CLBG-Fannkuch,G1,Light,openjdk,1761254699486.0,0.51292,SUCCESS,1
run_49_repetition_0,DONE,CLBG-Fannkuch,G1,Light,oracle,1761254822579.0,0.545129,SUCCESS,1
run_50_repetition_0,DONE,CLBG-Fannkuch,G1,Medium,openjdk,1761254946227.0,0.935545,SUCCESS,1
run_51_repetition_0,DONE,CLBG-Fannkuch,G1,Medium,oracle,1761255079736.0,0.949829,SUCCESS,1
run_52_repetition_0,DONE,CLBG-Fannkuch,G1,Heavy,openjdk,1761255217574.0,5.18601,SUCCESS,1
run_53_repetition_0,DONE,CLBG-Fannkuch,G1,Heavy,oracle,1761255354981.0,4.90365,SUCCESS,1
run_54_repetition_0,DONE,CLBG-NBody,Serial,Light,openjdk,1761255488663.0,0.959673,SUCCESS,1
run_55_repetition_0,DONE,CLBG-NBody,Serial,Light,oracle,1761255612058.0,0.757958,SUCCESS,1
run_56_repetition_0,DONE,CLBG-NBody,Serial,Medium,openjdk,1761255736752.0,2.17714,SUCCESS,1
run_57_repetition_0,DONE,CLBG-NBody,Serial,Medium,oracle,1761255871719.0,2.36694,SUCCESS,1
run_58_repetition_0,DONE,CLBG-NBody,Serial,Heavy,openjdk,1761256008455.0,4.15963,SUCCESS,1
run_59_repetition_0,DONE,CLBG-NBody,Serial,Heavy,oracle,1761256145024.0,3.9427,SUCCESS,1
run_60_repetition_0,DONE,CLBG-NBody,Parallel,Light,openjdk,1761256278395.0,0.760126,SUCCESS,1
run_61_repetition_0,DONE,CLBG-NBody,Parallel,Light,oracle,1761256411777.0,0.711041,SUCCESS,1
run_62_repetition_0,DONE,CLBG-NBody,Parallel,Medium,openjdk,1761256536749.0,2.34471,SUCCESS,1
run_63_repetition_0,DONE,CLBG-NBody,Parallel,Medium,oracle,1761256671590.0,2.15918,SUCCESS,1
run_64_repetition_0,DONE,CLBG-NBody,Parallel,Heavy,openjdk,1761256808095.0,3.90319,SUCCESS,1
run_65_repetition_0,DONE,CLBG-NBody,Parallel,Heavy,oracle,1761256944739.0,3.98272,SUCCESS,1
run_66_repetition_0,DONE,CLBG-NBody,G1,Light,openjdk,1761257078289.0,0.73835,SUCCESS,1
run_67_repetition_0,DONE,CLBG-NBody,G1,Light,oracle,1761257211781.0,0.978182,SUCCESS,1
run_68_repetition_0,DONE,CLBG-NBody,G1,Medium,openjdk,1761257346786.0,2.32416,SUCCESS,1
run_69_repetition_0,DONE,CLBG-NBody,G1,Medium,oracle,1761257481462.0,2.09034,SUCCESS,1
run_70_repetition_0,DONE,CLBG-NBody,G1,Heavy,openjdk,1761257618028.0,3.94624,SUCCESS,1
run_71_repetition_0,DONE,CLBG-NBody,G1,Heavy,oracle,1761257754655.0,3.9383,SUCCESS,1
run_72_repetition_0,DONE,Rosetta,Serial,Light,openjdk,1761257887683.0,0.508676,SUCCESS,1
run_73_repetition_0,DONE,Rosetta,Serial,Light,oracle,1761258010803.0,0.522861,SUCCESS,1
run_74_repetition_0,DONE,Rosetta,Serial,Medium,openjdk,1761258134044.0,0.519526,SUCCESS,1
run_75_repetition_0,DONE,Rosetta,Serial,Medium,oracle,1761258257232.0,0.541391,SUCCESS,1
run_76_repetition_0,DONE,Rosetta,Serial,Heavy,openjdk,1761258380413.0,0.53605,SUCCESS,1
run_77_repetition_0,DONE,Rosetta,Serial,Heavy,oracle,1761258503396.0,0.536831,SUCCESS,1
run_78_repetition_0,DONE,Rosetta,Parallel,Light,openjdk,1761258626377.0,0.560414,SUCCESS,1
run_79_repetition_0,DONE,Rosetta,Parallel,Light,oracle,1761258749313.0,0.511521,SUCCESS,1
run_80_repetition_0,DONE,Rosetta,Parallel,Medium,openjdk,1761258872308.0,0.518738,SUCCESS,1
run_81_repetition_0,DONE,Rosetta,Parallel,Medium,oracle,1761258995364.0,0.531908,SUCCESS,1
run_82_repetition_0,DONE,Rosetta,Parallel,Heavy,openjdk,1761259118526.0,0.520965,SUCCESS,1
run_83_repetition_0,DONE,Rosetta,Parallel,Heavy,oracle,1761259241703.0,0.530058,SUCCESS,1
run_84_repetition_0,DONE,Rosetta,G1,Light,openjdk,1761259364837.0,0.525053,SUCCESS,1
run_85_repetition_0,DONE,Rosetta,G1,Light,oracle,1761259488112.0,0.549471,SUCCESS,1
run_86_repetition_0,DONE,Rosetta,G1,Medium,openjdk,1761259611182.0,0.495332,SUCCESS,1
run_87_repetition_0,DONE,Rosetta,G1,Medium,oracle,1761259734189.0,0.500624,SUCCESS,1
run_88_repetition_0,DONE,Rosetta,G1,Heavy,openjdk,1761259857124.0,0.509973,SUCCESS,1
run_89_repetition_0,DONE,Rosetta,G1,Heavy,oracle,1761259980024.0,0.533806,SUCCESS,1
