entry_id,run_id,subject,gc,workload,jdk,energy_j,runtime_s,batch_source,throughput_idx,workload_k,throughput,energy_per_op,power_w,edp,nee,power_mean,power_ratio,cop,throughput_scaled,is_frontier,eff_index
11,run_5,PetClinic,Serial,Medium,oracle,639.000196,180.01,service_apps,0.005555246930726071,3,0.0166657407921782,213.0000653333333,3.5498038775623577,115026.42528196,1.4191704069365065,3.5498038775623577,0.6110758002188411,0.28170570388995625,0.016665740792178214,False,13.5
12,run_10,PetClinic,Parallel,Light,oracle,457.793262,120.01,service_apps,0.008332638946754437,1,0.0083326389467544,457.793262,3.8146259645029583,54939.76937262001,1.0167237099334643,3.8146259645029583,0.6566632113194163,0.2621488998673816,0.008332638946754437,False,4.8
13,run_40,ANDIE,Serial,Light,oracle,283.313606,120.01,service_apps,0.008332638946754437,1,0.0083326389467544,283.313606,2.3607499875010416,34000.46585606,1.189724202629218,2.3607499875010416,0.7237441096033069,0.42359419900221806,0.008332638946754437,False,18.6
14,run_43,ANDIE,Parallel,Light,openjdk,277.834127,120.01,service_apps,0.008332638946754437,1,0.0083326389467544,277.834127,2.3150914673777185,33342.87358127,1.1667141224705597,2.3150914673777185,0.7097464032949661,0.43194837616186726,0.008332638946754437,False,13.0
15,run_15,PetClinic,G1,Heavy,openjdk,788.685237,300.01,service_apps,0.0033332222259258026,5,0.016666111129629,157.7370474,2.6288631612279594,236613.45795237,1.7516093981575322,2.6288631612279594,0.4525418066240726,0.380392564644899,0.016666111129629013,False,6.4
16,run_52,ANDIE,G1,Light,oracle,1573.56549,120.01,service_apps,0.008332638946754437,1,0.0083326389467544,1573.56549,13.111953087242728,188843.5944549,6.6079034265481225,13.111953087242728,4.019781367162936,0.07626628873260306,0.008332638946754437,False,19.4
17,run_42,ANDIE,Serial,Heavy,oracle,645.086789,300.01,service_apps,0.0033332222259258026,5,0.016666111129629,129.01735779999998,2.150217622745908,193532.48756788997,2.708925196023475,2.150217622745908,0.6592004011720407,0.46506920481981845,0.016666111129629013,False,8.0
18,run_28,TodoApp,Parallel,Light,oracle,376.120497,120.01,service_apps,0.008332638946754437,1,0.0083326389467544,376.120497,3.134076301974835,45138.220844970005,1.0092509052206864,3.134076301974835,0.7102430942520042,0.31907327826380066,0.008332638946754437,False,3.8
19,run_42,ANDIE,Serial,Heavy,oracle,650.0045,300.01,service_apps,0.0033332222259258026,5,0.016666111129629,130.0009,2.166609446351788,195007.850045,2.7295762331580486,2.166609446351788,0.6642257049285686,0.46155065080318675,0.016666111129629013,False,10.4
20,run_17,PetClinic,G1,Medium,oracle,658.215356,180.01,service_apps,0.005555246930726071,3,0.0166657407921782,219.40511866666668,3.6565488361757685,118485.34623356,1.461845802980595,3.6565488361757685,0.6294512551041994,0.2734819210143131,0.016665740792178214,False,16.7
21,run_12,PetClinic,Parallel,Heavy,oracle,854.41334,300.01,service_apps,0.0033332222259258026,5,0.016666111129629,170.882668,2.8479495350154993,256332.54613339997,1.8975864718197673,2.8479495350154993,0.49025611022982535,0.3511298173317378,0.016666111129629013,False,8.8
22,run_47,ANDIE,Parallel,Medium,oracle,2371.260775,180.01,service_apps,0.005555246930726071,3,0.0166657407921782,790.4202583333334,13.172939142269875,426850.65210775,9.957680376151144,13.172939142269875,4.038478094189317,0.07591320275603175,0.016665740792178214,False,19.1
23,run_48,ANDIE,Parallel,Heavy,oracle,664.818488,300.01,service_apps,0.0033332222259258026,5,0.016666111129629,132.9636976,2.2159877604079865,199452.19458488,2.791784894118224,2.2159877604079865,0.6793638026218974,0.451266030375497,0.016666111129629013,False,14.4
24,run_40,ANDIE,Serial,Light,oracle,275.275174,120.01,service_apps,0.008332638946754437,1,0.0083326389467544,275.275174,2.2937686359470044,33035.77363174,1.155968262571792,2.2937686359470044,0.7032093817002399,0.4359637603934455,0.008332638946754437,False,10.6
25,run_18,PetClinic,G1,Heavy,oracle,780.815872,300.01,service_apps,0.0033332222259258026,5,0.016666111129629,156.1631744,2.6026328189060366,234252.56975872,1.7341321422829787,2.6026328189060366,0.4480264226825265,0.3842263083504532,0.016666111129629013,False,4.8
26,run_18,PetClinic,G1,Heavy,oracle,2685.062096,300.04,service_apps,0.0033328889481402477,5,0.0166644447407012,537.0124192000001,8.94901378482869,805626.0312838401,5.963316899248822,8.94901378482869,1.5405148983861205,0.11174415684723889,0.01666444474070124,False,22.4
27,run_24,TodoApp,Serial,Heavy,oracle,798.362336,300.01,service_apps,0.0033332222259258026,5,0.016666111129629,159.6724672,2.6611190826972435,239516.68442336,2.14226003828263,2.6611190826972435,0.6030617219743494,0.3757817553156716,0.016666111129629013,False,15.3
28,run_23,TodoApp,Serial,Medium,oracle,481.380848,180.01,service_apps,0.005555246930726071,3,0.0166657407921782,160.46028266666667,2.6741894783623135,86653.36644848,1.29169790127099,2.6741894783623135,0.6060237297130913,0.37394508059032705,0.016665740792178214,False,5.7
29,run_19,TodoApp,Serial,Light,openjdk,404.733949,120.01,service_apps,0.008332638946754437,1,0.0083326389467544,404.733949,3.372501866511124,48572.12121949,1.086029896429157,3.372501866511124,0.7642749985162144,0.29651577362491033,0.008332638946754437,False,8.6
30,run_34,TodoApp,G1,Light,oracle,1972.73439,120.01,service_apps,0.008332638946754437,1,0.0083326389467544,1972.73439,16.43808340971586,236747.8541439,5.293473726499618,16.43808340971586,3.7251917629230933,0.06083434273176532,0.008332638946754437,False,21.4
31,run_7,PetClinic,Parallel,Light,openjdk,450.263191,120.01,service_apps,0.008332638946754437,1,0.0083326389467544,450.263191,3.751880601616532,54036.08555191,1.0,3.751880601616532,0.6458620025320244,0.26653300202814045,0.008332638946754437,True,3.2
32,run_2,PetClinic,Serial,Medium,openjdk,2592.737503,180.01,service_apps,0.005555246930726071,3,0.0166657407921782,864.2458343333333,14.403297055719127,466718.6779150299,5.758271061957627,14.403297055719127,2.4794345202409374,0.06942854793117867,0.016665740792178214,False,20.7
33,run_32,TodoApp,G1,Medium,openjdk,551.531242,180.01,service_apps,0.005555246930726071,3,0.0166657407921782,183.8437473333333,3.063892239320038,99281.13887242,1.4799337172150697,3.063892239320038,0.6943380105768844,0.32638223602208916,0.016665740792178214,False,16.9
34,run_27,TodoApp,Parallel,Heavy,openjdk,794.188153,300.01,service_apps,0.0033332222259258026,5,0.016666111129629,158.8376306,2.647205603146562,238264.38778153,2.131059377842934,2.647205603146562,0.5999086549090513,0.3777568311321813,0.016666111129629013,False,12.9
35,run_19,TodoApp,Serial,Light,openjdk,1056.623271,120.03,service_apps,0.008331250520703158,1,0.0083312505207031,1056.623271,8.802993176705822,126826.49121812999,2.8352562576082967,8.802993176705822,1.9949307260206661,0.1135977252198906,0.008331250520703158,False,19.8
36,run_44,ANDIE,Parallel,Medium,openjdk,351.687088,180.01,service_apps,0.005555246930726071,3,0.0166657407921782,117.22902933333334,1.9537086161879897,63307.19271088,1.4768462632387365,1.9537086161879897,0.5989558870416649,0.5118470542199718,0.016665740792178214,False,7.1
37,run_36,TodoApp,G1,Heavy,oracle,791.200062,300.01,service_apps,0.0033332222259258026,5,0.016666111129629,158.2400124,2.6372456318122732,237367.93060062,2.123041379433685,2.6372456318122732,0.5976515302644888,0.37918348899219373,0.016666111129629013,False,11.3
38,run_36,TodoApp,G1,Heavy,oracle,3704.661903,300.01,service_apps,0.0033332222259258026,5,0.016666111129629,740.9323806,12.34846139462018,1111435.61751903,9.940786021931,12.34846139462018,2.798403288598963,0.08098174890320078,0.016666111129629013,False,21.7
39,run_6,PetClinic,Serial,Heavy,oracle,873.17788,300.01,service_apps,0.0033332222259258026,5,0.016666111129629,174.635576,2.9104959168027733,261962.0957788,1.9392610754184434,2.9104959168027733,0.5010230657067284,0.343584058725812,0.016666111129629013,False,9.6
40,run_44,ANDIE,Parallel,Medium,openjdk,394.353971,180.01,service_apps,0.005555246930726071,3,0.0166657407921782,131.45132366666667,2.190733687017388,70987.65831971,1.656018114787049,2.190733687017388,0.6716215652156896,0.45646808004375333,0.016665740792178214,False,9.5
41,run_30,TodoApp,Parallel,Heavy,oracle,698.886212,300.01,service_apps,0.0033332222259258026,5,0.016666111129629,139.7772424,2.3295430552314924,209672.85246212,1.8753339627413512,2.3295430552314924,0.5279200977647951,0.4292687348080062,0.016666111129629013,False,5.7
42,run_12,PetClinic,Parallel,Heavy,oracle,874.268209,300.01,service_apps,0.0033332222259258026,5,0.016666111129629,174.8536418,2.914130225659145,262289.20538209,1.9416826124700919,2.914130225659145,0.5016486884930145,0.34315556360347993,0.016666111129629013,False,10.4
43,run_32,TodoApp,G1,Medium,openjdk,546.331487,180.01,service_apps,0.005555246930726071,3,0.0166657407921782,182.11049566666668,3.035006316315761,98345.13097487,1.4659811209526123,3.035006316315761,0.6877918944781934,0.3294886058800414,0.016665740792178214,False,14.5
44,run_37,ANDIE,Serial,Light,openjdk,2071.583137,120.0,service_apps,0.008333333333333333,1,0.0083333333333333,2071.583137,17.263192808333333,248589.97644,8.699238383374567,17.263192808333333,5.292442729694987,0.057926712115343885,0.008333333333333333,False,19.5
45,run_26,TodoApp,Parallel,Medium,openjdk,488.953277,180.01,service_apps,0.005555246930726071,3,0.0166657407921782,162.98442566666668,2.7162561913227043,88016.47939277,1.3120171364201696,2.7162561913227043,0.615556871059769,0.3681537857859576,0.016665740792178214,False,6.5
46,run_7,PetClinic,Parallel,Light,openjdk,1400.501481,120.03,service_apps,0.008331250520703158,1,0.0083312505207031,1400.501481,11.667928692826793,168102.19276443002,3.110406333437103,11.667928692826793,2.008558531341077,0.08570501468823509,0.008331250520703158,False,22.2
47,run_38,ANDIE,Serial,Medium,openjdk,394.893826,180.02,service_apps,0.005554938340184424,3,0.0166648150205532,131.63127533333332,2.1936108543495165,71088.78655652,1.658285138134351,2.1936108543495165,0.6725036293563211,0.4558693708217155,0.01666481502055327,False,12.7
48,run_9,PetClinic,Parallel,Heavy,openjdk,2555.219594,300.01,service_apps,0.0033332222259258026,5,0.016666111129629,511.0439188,8.517114742841907,766591.43039594,5.674946664694161,8.517114742841907,1.4661662690536572,0.11741065257344765,0.016666111129629013,False,18.4
49,run_46,ANDIE,Parallel,Light,oracle,277.312095,120.01,service_apps,0.008332638946754437,1,0.0083326389467544,277.312095,2.310741563203066,33280.22452095,1.1645219435854166,2.310741563203066,0.7084128366147111,0.4327615064896466,0.008332638946754437,False,12.2
50,run_26,TodoApp,Parallel,Medium,openjdk,1602.196277,180.03,service_apps,0.005554629783924902,3,0.0166638893517747,534.0654256666667,8.89960715991779,288443.39574831,4.299202132829957,8.89960715991779,2.0168253475208644,0.11236451025656702,0.016663889351774704,False,23.2
51,run_4,PetClinic,Serial,Light,oracle,458.474717,120.01,service_apps,0.008332638946754437,1,0.0083326389467544,458.474717,3.8203042829764184,55021.55078717,1.0182371692026675,3.8203042829764184,0.6576406971537745,0.261759254218592,0.008332638946754437,False,5.6
52,run_43,ANDIE,Parallel,Light,openjdk,239.821651,120.01,service_apps,0.008332638946754437,1,0.0083326389467544,239.821651,1.9983472293975502,28780.99633651,1.0070876105724256,1.9983472293975502,0.6126409166052902,0.5004135343893534,0.008332638946754437,False,5.0
53,run_19,TodoApp,Serial,Light,openjdk,386.197193,120.01,service_apps,0.008332638946754437,1,0.0083326389467544,386.197193,3.21804177151904,46347.52513193001,1.03628988512407,3.21804177151904,0.7292713147397507,0.31074798619781785,0.008332638946754437,False,7.0
54,run_35,TodoApp,G1,Medium,oracle,540.227682,180.01,service_apps,0.005555246930726071,3,0.0166657407921782,180.07589399999998,3.0010981723237595,97246.38503682,1.4496026710391512,3.0010981723237595,0.6801076447060848,0.33321135883592135,0.016665740792178214,False,11.3
55,run_1,PetClinic,Serial,Light,openjdk,503.196343,120.01,service_apps,0.008332638946754437,1,0.0083326389467544,503.196343,4.1929534455462045,60388.59312343,1.117560469205665,4.1929534455462045,0.7217898425917996,0.2384953739618096,0.008332638946754437,False,12.8
