__run_id,__done,subject,gc,workload,jdk,energy_j,runtime_s,status,batch_num
run_51_repetition_0,DONE,CLBG-Fannkuch,G1,Medium,oracle,,,FAILED,1
run_52_repetition_0,DONE,CLBG-Fannkuch,G1,Heavy,openjdk,,,FAILED,1
run_53_repetition_0,DONE,CLBG-Fannkuch,G1,Heavy,oracle,,,FAILED,1
run_54_repetition_0,DONE,CLBG-NBody,Serial,Light,openjdk,1760781277281.0,0.972206,SUCCESS,1
run_55_repetition_0,DONE,CLBG-NBody,Serial,Light,oracle,1760781400298.0,0.749186,SUCCESS,1
run_56_repetition_0,DONE,CLBG-NBody,Serial,Medium,openjdk,1760781525103.0,2.15855,SUCCESS,1
run_57_repetition_0,DONE,CLBG-NBody,Serial,Medium,oracle,1760781679755.0,2.16629,SUCCESS,1
run_58_repetition_0,DONE,CLBG-NBody,Serial,Heavy,openjdk,1760781835929.0,3.7084,SUCCESS,1
run_59_repetition_0,DONE,CLBG-NBody,Serial,Heavy,oracle,1760781992538.0,4.11516,SUCCESS,1
run_60_repetition_0,DONE,CLBG-NBody,Parallel,Light,openjdk,1760782176060.0,0.948945,SUCCESS,1
run_61_repetition_0,DONE,CLBG-NBody,Parallel,Light,oracle,1760782299553.0,0.731812,SUCCESS,1
run_62_repetition_0,DONE,CLBG-NBody,Parallel,Medium,openjdk,1760782424232.0,2.15677,SUCCESS,1
run_63_repetition_0,DONE,CLBG-NBody,Parallel,Medium,oracle,1760782578856.0,2.12255,SUCCESS,1
run_64_repetition_0,DONE,CLBG-NBody,Parallel,Heavy,openjdk,1760782735362.0,3.95429,SUCCESS,1
run_65_repetition_0,DONE,CLBG-NBody,Parallel,Heavy,oracle,1760782891836.0,3.97044,SUCCESS,1
run_66_repetition_0,DONE,CLBG-NBody,G1,Light,openjdk,1760783045197.0,0.776717,SUCCESS,1
run_67_repetition_0,DONE,CLBG-NBody,G1,Light,oracle,1760783198371.0,0.734205,SUCCESS,1
run_68_repetition_0,DONE,CLBG-NBody,G1,Medium,openjdk,1760783323098.0,2.15052,SUCCESS,1
run_69_repetition_0,DONE,CLBG-NBody,G1,Medium,oracle,1760783477905.0,2.1476,SUCCESS,1
run_70_repetition_0,DONE,CLBG-NBody,G1,Heavy,openjdk,1760783634396.0,3.96562,SUCCESS,1
run_71_repetition_0,DONE,CLBG-NBody,G1,Heavy,oracle,1760783790766.0,3.92752,SUCCESS,1
run_72_repetition_0,DONE,Rosetta,Serial,Light,openjdk,1760783944057.0,0.606962,SUCCESS,1
run_73_repetition_0,DONE,Rosetta,Serial,Light,oracle,1760784066954.0,0.569109,SUCCESS,1
run_74_repetition_0,DONE,Rosetta,Serial,Medium,openjdk,1760784189879.0,0.593264,SUCCESS,1
run_75_repetition_0,DONE,Rosetta,Serial,Medium,oracle,1760784312891.0,0.548198,SUCCESS,1
run_76_repetition_0,DONE,Rosetta,Serial,Heavy,openjdk,1760784435710.0,0.484679,SUCCESS,1
run_77_repetition_0,DONE,Rosetta,Serial,Heavy,oracle,1760784558384.0,0.511386,SUCCESS,1
run_78_repetition_0,DONE,Rosetta,Parallel,Light,openjdk,1760784681165.0,0.541478,SUCCESS,1
run_79_repetition_0,DONE,Rosetta,Parallel,Light,oracle,1760784804367.0,0.563674,SUCCESS,1
run_80_repetition_0,DONE,Rosetta,Parallel,Medium,openjdk,1760784927522.0,0.548872,SUCCESS,1
run_81_repetition_0,DONE,Rosetta,Parallel,Medium,oracle,1760785050649.0,0.58031,SUCCESS,1
run_82_repetition_0,DONE,Rosetta,Parallel,Heavy,openjdk,1760785173777.0,0.572119,SUCCESS,1
run_83_repetition_0,DONE,Rosetta,Parallel,Heavy,oracle,1760785296835.0,0.526462,SUCCESS,1
run_84_repetition_0,DONE,Rosetta,G1,Light,openjdk,1760785419806.0,0.531874,SUCCESS,1
run_85_repetition_0,DONE,Rosetta,G1,Light,oracle,1760785542955.0,0.549671,SUCCESS,1
run_86_repetition_0,DONE,Rosetta,G1,Medium,openjdk,1760785666094.0,0.56662,SUCCESS,1
run_87_repetition_0,DONE,Rosetta,G1,Medium,oracle,1760785789112.0,0.521337,SUCCESS,1
run_88_repetition_0,DONE,Rosetta,G1,Heavy,openjdk,1760785912153.0,0.560814,SUCCESS,1
run_89_repetition_0,DONE,Rosetta,G1,Heavy,oracle,1760786034963.0,0.560658,SUCCESS,1
run_90_repetition_0,DONE,PetClinic,Serial,Light,openjdk,,,FAILED,1
run_91_repetition_0,DONE,PetClinic,Serial,Light,oracle,,,FAILED,1
run_92_repetition_0,DONE,PetClinic,Serial,Medium,openjdk,,,FAILED,1
run_93_repetition_0,DONE,PetClinic,Serial,Medium,oracle,,,FAILED,1
