__run_id,__done,subject,gc,workload,jdk,energy_j,runtime_s,status,batch_num
run_0_repetition_0,DONE,DaCapo,Serial,Light,openjdk,1761166667112.0,1.54704,SUCCESS,1
run_1_repetition_0,DONE,DaCapo,Serial,Light,oracle,1761166800964.0,1.34887,SUCCESS,1
run_2_repetition_0,DONE,DaCapo,Serial,Medium,openjdk,1761166935850.0,2.35771,SUCCESS,1
run_3_repetition_0,DONE,DaCapo,Serial,Medium,oracle,1761167070695.0,2.33181,SUCCESS,1
run_4_repetition_0,DONE,DaCapo,Serial,Heavy,openjdk,1761167211518.0,8.17617,SUCCESS,1
run_5_repetition_0,DONE,DaCapo,Serial,Heavy,oracle,1761167352112.0,8.12937,SUCCESS,1
run_6_repetition_0,DONE,DaCapo,Parallel,Light,openjdk,1761167485952.0,1.33204,SUCCESS,1
run_7_repetition_0,DONE,DaCapo,Parallel,Light,oracle,1761167619855.0,1.3405,SUCCESS,1
run_8_repetition_0,DONE,DaCapo,Parallel,Medium,openjdk,1761167754680.0,2.34224,SUCCESS,1
run_9_repetition_0,DONE,DaCapo,Parallel,Medium,oracle,1761167889663.0,2.37193,SUCCESS,1
run_10_repetition_0,DONE,DaCapo,Parallel,Heavy,openjdk,1761168030311.0,8.12096,SUCCESS,1
run_11_repetition_0,DONE,DaCapo,Parallel,Heavy,oracle,1761168171061.0,8.14316,SUCCESS,1
run_12_repetition_0,DONE,DaCapo,G1,Light,openjdk,1761168305247.0,1.56966,SUCCESS,1
run_13_repetition_0,DONE,DaCapo,G1,Light,oracle,1761168439402.0,1.54422,SUCCESS,1
run_14_repetition_0,DONE,DaCapo,G1,Medium,openjdk,1761168574159.0,2.31956,SUCCESS,1
run_15_repetition_0,DONE,DaCapo,G1,Medium,oracle,1761168709045.0,2.34589,SUCCESS,1
run_16_repetition_0,DONE,DaCapo,G1,Heavy,openjdk,1761168849885.0,8.13541,SUCCESS,1
run_17_repetition_0,DONE,DaCapo,G1,Heavy,oracle,1761168990575.0,8.11396,SUCCESS,1
run_18_repetition_0,DONE,CLBG-BinaryTrees,Serial,Light,openjdk,1761169123740.0,0.514106,SUCCESS,1
run_19_repetition_0,DONE,CLBG-BinaryTrees,Serial,Light,oracle,1761169246857.0,0.495351,SUCCESS,1
run_20_repetition_0,DONE,CLBG-BinaryTrees,Serial,Medium,openjdk,1761169369992.0,0.700298,SUCCESS,1
run_21_repetition_0,DONE,CLBG-BinaryTrees,Serial,Medium,oracle,1761169493310.0,0.741583,SUCCESS,1
run_22_repetition_0,DONE,CLBG-BinaryTrees,Serial,Heavy,openjdk,1761169626722.0,0.878885,SUCCESS,1
